Time	Type	Device name	Error code	Error label
06.03.2020 09:33:37	hard reset	NYC-REAL-L665	0x0	-
06.03.2020 09:31:10	hard reset	GUR-FING-L123	0x0	-
06.03.2020 09:28:40	hard reset	NYC-REAL-L375	0x0	-
06.03.2020 09:16:24	hard reset	ZOOM-5N0X4Z2	0x0	-
06.03.2020 09:16:07	hard reset	NYC-MEET-L392	0x0	-
06.03.2020 09:11:32	hard reset	NYC-TACT-L159	0x0	-
06.03.2020 09:08:23	hard reset	NYC-PWM-L076	0x0	-
06.03.2020 09:02:31	hard reset	NYC-LOAN-L934	0x0	-
06.03.2020 09:01:29	hard reset	NYC-FING-L372	0x0	-
06.03.2020 08:58:47	hard reset	LDN-REAL-L479	0x0	-
06.03.2020 08:58:16	hard reset	NYC-FING-L499	0x0	-
06.03.2020 08:53:55	hard reset	LDN-REAL-L664	0x0	-
06.03.2020 08:45:02	hard reset	NYC-GSO-L347	0x0	-
06.03.2020 08:13:18	hard reset	NYC-REAL-L900	0x0	-
06.03.2020 08:08:32	hard reset	NYC-BAAM-L009	0x0	-
06.03.2020 07:52:33	hard reset	NYC-FING-L340	0x0	-
06.03.2020 07:49:54	hard reset	NYC-BAAM-L126	0x0	-
06.03.2020 07:49:51	hard reset	NYC-GCS-L189	0x0	-
06.03.2020 07:42:07	hard reset	GUR-GSO-L014	0x0	-
06.03.2020 07:14:44	hard reset	GUR-FING-L127	0x0	-
06.03.2020 07:10:49	hard reset	GUR-REAL-L142	0x0	-
06.03.2020 07:07:10	hard reset	MUM-REAL-L112	0x0	-
06.03.2020 05:59:56	hard reset	DBN-GSO-L160	0x0	-
06.03.2020 05:31:10	hard reset	GUR-REAL-L108	0x0	-
06.03.2020 05:24:21	hard reset	MAD-REAL-L002	0x0	-
06.03.2020 05:23:36	hard reset	HKG-HUMN-L031	0x0	-
06.03.2020 05:16:14	hard reset	GUR-FING-L173	0x0	-
06.03.2020 05:15:23	hard reset	LDN-REAL-L609	0x0	-
06.03.2020 04:18:16	hard reset	GUR-FING-L292	0x0	-
06.03.2020 04:04:35	hard reset	LDN-GSO-L051	0x0	-
06.03.2020 03:00:26	hard reset	HKG-REAL-L182	0x0	-
06.03.2020 02:54:36	hard reset	GUR-BXII-L218	0x0	-
06.03.2020 02:43:02	hard reset	GUR-BXII-L530	0x0	-
06.03.2020 02:11:56	hard reset	HKG-REAL-L186	0x0	-
06.03.2020 01:58:57	hard reset	NYC-GSO-L405	0x0	-
06.03.2020 01:50:17	hard reset	GUR-FING-L191	0x0	-
06.03.2020 01:31:31	hard reset	GUR-FING-L292	0x0	-
06.03.2020 01:25:12	hard reset	GUR-VISIT-W037	0x0	-
06.03.2020 01:18:54	hard reset	SHG-REAL-L011	0x0	-
06.03.2020 01:18:42	hard reset	NYC-BXII-L671	0x0	-
06.03.2020 00:52:15	hard reset	ZOOM-196ZQ13	0x0	-
06.03.2020 00:39:52	hard reset	GUR-BXII-L363	0x0	-
06.03.2020 00:34:12	hard reset	GUR-BXII-L249	0x0	-
06.03.2020 00:10:57	hard reset	SHG-REAL-L007	0x0	-
06.03.2020 00:10:52	hard reset	ZOOM-196ZQ13	0x0	-
06.03.2020 00:06:48	hard reset	GUR-BXII-L487	0x0	-
06.03.2020 00:04:26	hard reset	ZOOM-196ZQ13	0x0	-
05.03.2020 23:58:32	hard reset	NYC-CHAR-L004	0x0	-
05.03.2020 23:33:15	hard reset	MUM-REAL-L106	0x0	-
05.03.2020 23:11:31	hard reset	TOK-REAL-L055	0x0	-
05.03.2020 22:58:51	hard reset	TOK-REAL-L069	0x0	-
05.03.2020 22:37:26	hard reset	MUM-PEQG-L084	0x0	-
